SMILES,Global_min_Diamond,Global_min_MCLMCS,P_Diamond,P_MCLMCS
CCOC,-16.33,-16.33,1,1
CCOCC,-52.35,-52.35,0.49,0.51
CC(C)OCC,-104.05,-104.05,0.5,0.5
CCCOC,11.97,11.97,1,1
CCCOCC,-24.32,-24.34,0.47,0.53
CCCOCCC,3.55,3.55,1,1
CCC(C)OC,-34.11,-34.11,1,1
CCCCOC,8.62,8.62,1,1
CCCCCOC,11.29,11.29,1,1
CCCCCCOC,14,14,0.5,0.5
CCCCCCCOC,16.63,16.63,0.51,0.49
CCCCCCCCOC,19.2,19.2,0.5,0.5
COOC,-20.67,-20.67,1,1
COCOC,-0.86,-0.86,1,1
COC(C)OC,-56.43,-56.43,1,1
COC(C)(C)OC,-175.67,-175.67,0.5,0.5
CCOCOCC,-48.95,-48.92,0.54,0.46
COCCOC,69.51,69.51,1,1
COCCCOC,-44.16,-44.17,0.48,0.52
COCCCCOC,9.31,9.31,1,1
COCCCCCOC,7.05,7.05,1,1
COCCCCCCOC,10.08,10.08,1,1
COCOCOC,-6.97,-6.97,1,1
COCOCOCOC,-17.04,-17.04,1,1
COCOCCCOC,-55.24,-55.25,0.49,0.51
CC(C)(OC)C,-141.11,-141.1,0.52,0.48
CC(C)(OC(C)C)C,-223.67,-223.67,0.66,0.34
CC(OC(C)C)C,-154.4,-154.38,0.53,0.47
OCCCC,2.07,2.08,0.47,0.53
OCCCCC,2.62,2.62,0.42,0.58
CCC(C)O,-14.36,-14.36,0.58,0.42
CC(C)C(C)O,-11.56,-11.56,0.65,0.35
OCCOC,15.24,15.24,0.5,0.5
OCCO,16.08,16.08,0.67,0.33
OCCCO,-7.21,-7.21,0.67,0.33
OCC(O)CO,21.37,21.37,0.5,0.5
CC(O)CO,1.98,1.98,0.5,0.5
OCCCOC,-10.09,-10.09,0.5,0.5
OCCCCCCOC,0.86,0.86,0.5,0.5
OCCCCCCO,1.44,1.44,0.49,0.51
OCCCCCCCO,1,1,0.67,0.33
