Molecule,Diamond,MCMM,SPMC,MCLMCS,LMCS
e1,0.00118215,2.055,2.345,2.97,2.985
e2,0.001814053,1.653333333,1.866666667,2.16,2.316666667
e3,0.001916721,1.23,1.356666667,1.716666667,1.843333333
e4,0.001927931,1.406666667,1.236666667,1.533333333,1.893333333
e5,0.00196302,1.273333333,1.293333333,1.59,1.71
e6,0.000702636,0.242727273,2.11,0.459166667,0.475416667
e7,0.000599956,0.262105263,0.305789474,0.363684211,0.565384615
e8,0.001477481,0.330625,0.373125,0.42375,0.652727273
e9,0.000621809,0.734666667,0.120687023,0.319571429,0.340724638
e10,0.000853784,1.195,1.2425,1.7225,2.58
e11,0.001028858,0.335384615,0.38,0.481538462,0.548461538
e12,0.001066099,0.208125,0.256875,0.325,0.33625
e13,0.000917439,0.655,0.748333333,1.025,1.09
e14,0.000828262,0.564285714,0.611428571,0.852857143,0.965714286
e15,0.000491091,0.142777778,0.229444444,0.219722222,0.2709375
e16,0.000557058,0.161111111,0.275277778,0.253333333,0.287714286
e17,0.000470623,0.138648649,0.235675676,0.216486486,0.244864865
e18,0.00103085,0.638333333,0.746666667,1.015,1.14
e19,0.000578884,0.428181818,0.440909091,0.680909091,0.739090909
e20,0.000851607,0.328461538,0.353846154,0.516923077,0.558461538
e21,0.001032857,0.297692308,0.354615385,0.551538462,0.557692308
e22,0.000925793,0.85,0.834,1.32,2.646666667
e23,0.000426044,0.12744186,0.183658537,0.212325581,0.296363636
e24,0.001372864,0.304285714,0.332142857,0.517142857,0.532142857
e25,0.000932638,1.373333333,1.5,2.203333333,2.72
e26,0.00043086,0.073793103,0.090120482,0.111034483,0.120689655
e27,0.000493721,0.132647059,0.245,0.238823529,0.263235294
e28,0.000524219,0.116666667,0.154255319,0.187916667,0.218125
e29,0.001116279,0.468,0.505,0.821,0.83
e30,0.000858941,0.493333333,0.521111111,0.832222222,0.846666667
e31,0.001066515,0.504444444,0.525555556,0.738888889,0.868888889
e32,0.000859889,0.655714286,0.654285714,1.057142857,1.184285714
e33,0.000454789,0.154473684,0.141904762,0.207692308,0.214776119
e34,0.00043985,1.248947368,0.114485981,0.299142857,0.386896552
e35,0.000472591,4.796052632,0.198222222,0.374269663,0.209817073
e36,0.000945496,9.222978723,0.122456897,0.716885246,1.000681818
e37,0.000609058,0.141470588,0.065125628,0.106989247,0.111641026
