Molecule,Lowest_Total_Energy,True_minimum_count,Multiple_minimum_count,Saddle_point_count,Conformers_within_1kcal,Conformers_within_3kcal,Conformers_within_5kcal
e1,9.097,2,0,0,1,2,2
e2,12.289,3,0,0,1,1,1
e3,9.588,3,0,0,1,2,2
e4,9.588,3,0,0,1,2,2
e5,9.588,3,0,0,1,2,2
e6,20.035,31,0,0,3,11,22
e7,12.039,19,0,0,3,8,16
e8,13.006,16,0,0,3,7,14
e9,39.432,131,0,0,8,28,98
e10,14.412,4,0,0,3,3,4
e11,13.651,13,0,0,2,5,8
e12,42.805,16,0,0,5,11,15
e13,13.218,6,0,0,2,3,5
e14,14.544,7,0,0,2,3,5
e15,18.022,36,0,0,3,15,29
e16,22.149,36,0,0,2,10,27
e17,16.641,37,0,0,4,14,32
e18,13.218,6,0,0,2,3,5
e19,12.935,11,0,0,3,7,11
e20,13.651,13,0,0,2,5,8
e21,13.651,13,0,0,2,5,8
e22,11.959,5,0,0,2,3,5
e23,14.978,41,0,0,6,20,37
e24,14.916,14,0,0,4,5,12
e25,12.078,3,0,0,2,3,3
e26,17.176,83,0,0,8,28,56
e27,2.51,32,0,0,3,10,24
e28,17.358,47,0,0,5,22,39
e29,16.952,10,0,0,1,4,5
e30,14.841,9,0,0,2,4,6
e31,14.841,9,0,0,2,4,6
e32,13.713,7,0,0,2,5,5
e33,22.552,63,0,0,4,16,42
e34,34.506,109,0,1,3,23,75
e35,46.101,93,0,0,7,29,72
e36,83.245,323,0,0,14,84,262
e37,126.693,199,0,0,3,32,126
