Molecule,Diamond_RDKit,Diamond_MacroModel,SPMC,MCMM,MCLMCS,LMCS
e1,3,3,2,2,2,2
e2,3,3,1,1,1,1
e3,3,3,2,2,2,2
e4,3,3,2,2,2,2
e5,3,3,2,2,2,2
e6,19,19,11,11,10,10
e7,15,15,8,8,8,7
e8,7,7,7,7,7,7
e9,36,36,28,14,11,11
e10,6,6,3,3,3,3
e11,8,8,5,5,5,5
e12,9,9,11,11,11,11
e13,6,6,3,3,3,3
e14,5,5,3,3,3,3
e15,25,25,15,15,15,14
e16,14,14,10,10,10,14
e17,28,28,14,14,14,14
e18,6,6,3,3,3,3
e19,14,14,7,7,7,7
e20,8,8,5,5,5,5
e21,8,8,5,5,5,5
e22,6,6,3,3,3,3
e23,40,40,20,20,20,20
e24,8,8,5,5,5,5
e25,6,6,3,3,3,3
e26,41,41,28,28,28,28
e27,20,20,10,10,10,10
e28,24,24,22,22,22,22
e29,6,6,4,4,4,4
e30,6,6,4,4,4,4
e31,6,6,4,4,4,4
e32,8,8,5,5,5,5
e33,76,76,16,19,19,19
e34,48,48,23,11,12,12
e35,52,48,29,21,22,33
e36,272,8,84,38,24,33
e37,30,90,32,40,52,55
