Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,2,22998,45.1,49.79,4.69,0.000203931,24.895
e2,3,28750,50.2,55.8,5.6,0.000194783,18.6
e3,3,27780,37.5,41.57,4.07,0.000146508,13.85666667
e4,3,27758,37.8,41.51,3.71,0.000133655,13.83666667
e5,3,28814,36.8,40.68,3.88,0.000134657,13.56
e6,31,2854774,165.5,230.91,65.41,2.29E-05,7.448709677
e7,19,48240,78.9,84.71,5.81,0.000120439,4.458421053
e8,16,67189,87.2,93.17,5.97,8.89E-05,5.823125
e9,131,47021,451.4,467.21,15.81,0.000336233,3.56648855
e10,4,41743,99.1,104.07,4.97,0.000119062,26.0175
e11,13,22620,73.4,78.34,4.94,0.000218391,6.026153846
e12,16,42265,47.4,51.51,4.11,9.72E-05,3.219375
e13,6,34837,79.1,83.59,4.49,0.000128886,13.93166667
e14,7,28584,77,81.28,4.28,0.000149734,11.61142857
e15,36,213736,102.5,110.76,8.26,3.86E-05,3.076666667
e16,36,235403,131.2,141.11,9.91,4.21E-05,3.919722222
e17,37,202580,120.8,129.52,8.72,4.30E-05,3.500540541
e18,6,31046,81.1,85.58,4.48,0.000144302,14.26333333
e19,11,35676,92.8,97.65,4.85,0.000135946,8.877272727
e20,13,22537,69.5,74.1,4.6,0.000204109,5.7
e21,13,24417,68.4,73.01,4.61,0.000188803,5.616153846
e22,5,39353,83,87.17,4.17,0.000105964,17.434
e23,41,28429,130.2,137.73,7.53,0.00026487,3.359268293
e24,14,25043,73.4,78.05,4.65,0.000185681,5.575
e25,3,43247,83.5,88,4.5,0.000104053,29.33333333
e26,83,27130,130.3,137.78,7.48,0.00027571,1.66
e27,32,202676,95,102.84,7.84,3.87E-05,3.21375
e28,47,19618,122.2,129.45,7.25,0.000369559,2.754255319
e29,10,33408,85.8,90.85,5.05,0.000151161,9.085
e30,9,24861,73.6,78.29,4.69,0.000188649,8.698888889
e31,9,24331,71.5,76.23,4.73,0.000194402,8.47
e32,7,25752,76.8,81.38,4.58,0.00017785,11.62571429
e33,63,20409,273.2,282.14,8.94,0.000438042,4.478412698
e34,107,34605,719.3,731.55,12.25,0.000353995,6.836915888
e35,90,8146,1182.3,1200.14,17.84,0.002190032,13.33488889
e36,232,14532,1734.6,1763.01,28.41,0.001954996,7.599181034
e37,199,4946,352.4,365.36,12.96,0.002620299,1.835979899
