Molecule,Diamond_MacroModel,Diamond_RDKit,MCMM,SPMC,MCLMCS,LMCS
e1,0.688644806,0.568435007,19.505,24.895,54.72,66.435
e2,0.688651365,0.568654014,14.98666667,18.6,42.82666667,49.81666667
e3,0.67215802,0.595235232,11.26333333,13.85666667,33.61666667,40.34333333
e4,0.69874627,0.57200191,11.27333333,13.83666667,32.2,40.26
e5,0.695442443,0.591919026,12.04,13.56,32.19,40.14333333
e6,0.79965823,0.520134799,4.491212121,7.448709677,19.99666667,22.19208333
e7,0.71732718,0.50678267,4.372631579,4.458421053,12.02684211,19.11153846
e8,0.759673537,0.544077549,6.299375,5.823125,16.33,25.76181818
e9,0.893137432,0.580863563,3.763555556,3.56648855,17.03957143,17.09
e10,0.682491064,0.728275759,19.845,26.0175,55.5975,81.88
e11,0.663498778,0.473327966,5.073846154,6.026153846,14.12769231,16.82538462
e12,0.660181897,0.517411603,2.970625,3.219375,8.36875,9.64875
e13,0.677920372,0.720151914,10.955,13.93166667,30.24166667,35.24
e14,0.690136443,0.704788584,8.792857143,11.61142857,25.36714286,30.40857143
e15,0.71762494,0.737732539,3.142777778,3.076666667,9.041944444,11.6240625
e16,0.725124999,0.75581703,3.627777778,3.919722222,10.49777778,12.562
e17,0.715651142,0.737658606,3.362972973,3.500540541,9.63,10.82864865
e18,0.685803379,0.723526656,10.92166667,14.26333333,29.68166667,37.09
e19,0.665055366,0.724260676,8.582727273,8.877272727,24.71727273,27.73
e20,0.679026735,0.712410968,5.166923077,5.7,14.67846154,17.75076923
e21,0.68795855,0.704707194,4.866923077,5.616153846,15.57461538,17.28846154
e22,0.670168257,0.71573591,14.27,17.434,40.06,85.81333333
e23,0.715904896,0.736035348,2.878604651,3.359268293,8.472790698,11.64484848
e24,0.680325619,0.710139369,4.811428571,5.575,14.71714286,16.86071429
e25,0.681364687,0.710174844,21.00666667,29.33333333,61.60333333,76.68666667
e26,0.724538902,0.734703948,1.464597701,1.66,4.212183908,4.656321839
e27,0.713057886,0.725350822,3.044411765,3.21375,9.215294118,10.37205882
e28,0.721628275,0.746319387,2.602083333,2.754255319,7.594166667,8.845208333
e29,0.680266091,0.72143669,7.438,9.085,22.891,25.79
e30,0.672320816,0.710140138,7.193333333,8.698888889,21.77666667,24.64666667
e31,0.675743283,0.723515086,7.248888889,8.47,20.60555556,25.36888889
e32,0.679057707,0.721264757,9.784285714,11.62571429,27.17142857,32.95571429
e33,0.669315787,0.778065615,3.299210526,4.478412698,12.5,12.8461194
e34,0.828803938,0.941426417,7.013859649,6.836915888,21.92914286,30.78862069
e35,1.288834083,1.273930911,12.06052632,13.33488889,43.87426966,21.58603659
e36,37.64108285,1.444806679,18.31234043,7.599181034,91.75459016,137.2006818
e37,0.804806897,0.887127921,1.976029412,1.835979899,6.032258065,6.267025641
