Molecule,Lowest_Total_Energy,Total_Energy(kcal/mol),True_minimum,Multiple_minimum,Saddle_point,Conformers_within_1kcal,Conformers_within_3kcal,Conformers_within_5kcal,Minimum
e1,5.661,6.171333333,3,0,0,2,3,3,3
e2,5.32,5.32,3,0,0,3,3,3,3
e3,-10.073,-9.303666667,3,0,0,2,3,3,3
e4,-10.072,-9.302666667,3,0,0,2,3,3,3
e5,-10.073,-9.303666667,3,0,0,2,3,3,3
e6,1.343,3.83315,40,0,0,6,24,39,40
e7,-1.876,0.23052,25,0,0,8,19,24,25
e8,1.812,3.307777778,9,0,0,4,8,9,9
e9,20.397,25.23259627,322,0,0,8,40,148,322
e10,7.441,9.420666667,9,0,0,6,7,7,9
e11,-5.934,-4.549444444,9,0,0,4,8,8,9
e12,33.938,36.98788889,9,0,0,2,5,7,9
e13,5.41,7.646666667,9,0,0,4,7,8,9
e14,8.294,10.16322222,9,0,0,3,6,8,9
e15,7.934,11.68631667,60,0,0,6,24,41,60
e16,6.069,11.01240741,54,0,0,2,8,25,54
e17,6.325,9.359969231,65,0,0,12,36,53,65
e18,5.413,7.649777778,9,0,0,4,7,8,9
e19,-7.074,-4.850375,24,0,0,8,16,23,24
e20,-5.934,-4.549888889,9,0,0,4,8,8,9
e21,-5.934,-4.549444444,9,0,0,4,8,8,9
e22,2.099,3.958666667,9,0,0,6,7,8,9
e23,1.364,4.281546667,75,0,0,14,44,64,75
e24,-8.182,-6.933555556,9,0,0,4,8,9,9
e25,-11.697,-9.2765,8,0,0,6,6,6,8
e26,-1.608,1.6386,75,0,0,7,42,57,75
e27,-10.919,-6.689061538,65,0,0,8,18,38,65
e28,4.164,7.042689655,58,0,0,9,36,48,58
e29,-5.901,-4.004222222,9,0,0,1,7,9,9
e30,2.357,3.950111111,9,0,0,4,6,9,9
e31,2.357,3.949888889,9,0,0,4,6,9,9
e32,3.591,4.398,9,0,0,6,8,9,9
e33,4.904,10.98186949,544,0,0,12,136,238,544
e34,0.438,10.44825069,2792,0,10,39,112,397,2792
e35,4.493,14.51462356,2706,0,8,40,220,518,2706
e36,37.806,49.04101628,34569,0,172,48,438,2412,34569
e37,69.373,81.81987339,1627,0,0,18,72,190,1627
