Molecule,Geometry_generate_time,Minimization_time,Total_running_time,ave_running_time,Total_conformer_num,Output_conformer_num
e6,0.037230966,333.89,333.927231,8.348180774,81,40
e2,0.00602549,23.83,23.83602549,7.94534183,3,3
e8,0.018131849,70.24,70.25813185,7.806459094,27,9
e3,0.00742397,23.37,23.37742397,7.792474657,3,3
e4,0.006205191,23.5,23.50620519,7.83540173,3,3
e1,0.005928892,23.67,23.67592889,7.891976297,3,3
e9,0.348848492,3017.09,3017.438848,9.370928101,2187,322
e7,0.01977746,182.86,182.8797775,7.315191098,27,25
e5,0.00694311,23.38,23.38694311,7.795647703,3,3
e27,0.054786982,499.19,499.244787,7.68068903,81,65
e32,0.012114651,70.09,70.10211465,7.78912385,9,9
e23,0.055560999,573.14,573.195561,7.64260748,81,75
e33,0.461203486,3628.06,3628.521203,6.670075742,729,544
e15,0.045844716,475.35,475.3958447,7.923264079,81,60
e37,2.125686744,12603.95,12606.07569,7.748048978,6561,1627
e14,0.011747423,69.44,69.45174742,7.716860825,9,9
e34,3.889410991,22689.27,22693.15941,6.612225936,6561,3432
e13,0.011623481,69.84,69.85162348,7.761291498,9,9
e16,0.053354346,425.52,425.5733543,7.880988043,81,54
e12,0.012103276,69.01,69.02210328,7.669122586,9,9
e10,0.012961544,71.13,71.14296154,7.904773505,9,9
e36,925.6341612,384.2,1309.834161,54.57642338,4782969,24
e29,0.012800602,70.6,70.6128006,7.845866734,9,9
e24,0.012016255,69.53,69.54201626,7.726890695,9,9
e30,0.012193225,69.48,69.49219323,7.721354803,9,9
e18,0.011510092,70.29,70.30151009,7.811278899,9,9
e35,47.21191812,5672.71,5719.921918,9.930419997,177147,576
e19,0.02065074,185.51,185.5306507,7.730443781,27,24
e22,0.011687241,69.84,69.85168724,7.761298582,9,9
e11,0.011994469,70.12,70.13199447,7.79244383,9,9
e17,0.049061877,511.57,511.6190619,7.87106249,81,65
e20,0.011640321,70.07,70.08164032,7.786848925,9,9
e28,0.048295213,450.94,450.9882952,7.775660262,81,58
e26,0.056125826,577.13,577.1861258,7.695815011,81,75
e21,0.012013829,70.2,70.21201383,7.80133487,9,9
e31,0.01226465,69.55,69.56226465,7.729140517,9,9
e25,0.011689147,62.18,62.19168915,7.773961143,9,8
