Molecule,Geometry_generate_time,Minimization_time,Total_running_time,ave_running_time,Total_conformer_num,Output_conformer_num
e6,0.039418625,214.76,214.7994186,5.369985466,81,40
e2,0.006122136,19.93,19.93612214,6.645374045,3,3
e8,0.019329707,48.01,48.02932971,5.33659219,27,9
e3,0.006773801,19.71,19.7167738,6.572257934,3,3
e4,0.006283862,19.03,19.03628386,6.345427954,3,3
e1,0.006039734,19.27,19.27603973,6.425346578,3,3
e9,0.315691327,1924.85,1925.165691,5.978775439,2187,322
e7,0.020795156,129.04,129.0607952,5.162431806,27,25
e5,0.007560856,18.69,18.69756086,6.232520285,3,3
e27,0.051426853,512.19,512.2414269,7.880637336,81,65
e32,0.011980385,70.07,70.08198039,7.786886709,9,9
e23,0.053625793,587.32,587.3736258,7.831648344,81,75
e33,0.458342645,4295.76,4296.218343,7.897460189,729,544
e15,0.049946695,486.72,486.7699467,8.112832445,81,60
e37,2.139005521,14850.72,14852.85901,9.128985252,6561,1627
e14,0.013029058,70.36,70.37302906,7.819225451,9,9
e34,3.910419659,30495.32,30499.23042,8.88672215,6561,3432
e13,0.011441071,70.22,70.23144107,7.803493452,9,9
e16,0.04821364,437.18,437.2282136,8.096818771,81,54
e12,0.011148431,62.52,62.53114843,6.947905381,9,9
e10,0.012135513,71.51,71.52213551,7.946903946,9,9
e36,763.2401548,411131.12,411894.3602,10.92094496,4782969,37716
e29,0.013659939,70.62,70.63365994,7.848184438,9,9
e24,0.012770834,70.1,70.11277083,7.79030787,9,9
e30,0.012186134,70.29,70.30218613,7.811354015,9,9
e18,0.012510507,70.51,70.52251051,7.835834501,9,9
e35,41.33836041,30596.25,30637.58836,11.00488088,177147,2784
e19,0.023910005,189.04,189.06391,7.877662917,27,24
e22,0.012921436,70.43,70.44292144,7.826991271,9,9
e11,0.010773845,64.18,64.19077385,7.132308205,9,9
e17,0.048983543,527.92,527.9689835,8.122599747,81,65
e20,0.01182921,70.3,70.31182921,7.812425468,9,9
e28,0.046000118,461.76,461.8060001,7.962172416,81,58
e26,0.054838503,588.98,589.0348385,7.853797847,81,75
e21,0.012054069,70.35,70.36205407,7.818006008,9,9
e31,0.012821427,70.4,70.41282143,7.823646825,9,9
e25,0.011685729,62.51,62.52168573,7.815210716,9,8
