Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,3,4918,72.7,83.79,11.09,0.002254982,27.93
e2,3,4224,77,88.12,11.12,0.002632576,29.37333333
e3,2,6155,54.3,63.85,9.55,0.001551584,31.925
e4,2,5848,53.6,62.12,8.52,0.001456908,31.06
e5,2,5954,52.8,61.3,8.5,0.001427612,30.65
e6,36,9115,246.1,261.06,14.96,0.001641251,7.251666667
e7,19,5199,126.3,136.83,10.53,0.002025389,7.201578947
e8,27,4892,147.7,160.4,12.7,0.002596075,5.940740741
e9,95,8790,683.9,713.81,29.91,0.00340273,7.513789474
e10,12,4879,123.4,135.8,12.4,0.002541504,11.31666667
e11,19,5635,100,111.01,11.01,0.00195386,5.842631579
e12,10,5282,70.4,79.56,9.16,0.001734192,7.956
e13,6,5758,96.8,107.07,10.27,0.001783605,17.845
e14,8,5675,96.3,106.69,10.39,0.001830837,13.33625
e15,38,4729,174.2,186.79,12.59,0.002662296,4.915526316
e16,27,4334,209.2,223.22,14.02,0.003234887,8.267407407
e17,43,4699,183.9,196.73,12.83,0.002730368,4.575116279
e18,6,5716,96.5,106.94,10.44,0.001826452,17.82333333
e19,27,5366,149.9,161.75,11.85,0.002208349,5.990740741
e20,19,5818,98.4,109.08,10.68,0.001835682,5.741052632
e21,19,5986,100.3,111.02,10.72,0.001790845,5.843157895
e22,12,5491,98,108.6,10.6,0.001930432,9.05
e23,62,4600,193.2,206.16,12.96,0.002817391,3.32516129
e24,13,5419,106.9,117.28,10.38,0.001915483,9.021538462
e25,9,5762,123.5,137.31,13.81,0.002396737,15.25666667
e26,109,4390,212.7,228.56,15.86,0.003612756,2.096880734
e27,51,4578,194.9,208.69,13.79,0.003012232,4.091960784
e28,93,4814,201.4,215.23,13.83,0.002872871,2.314301075
e29,12,4877,129.5,144.61,15.11,0.003098216,12.05083333
e30,6,5764,94.1,108.56,14.46,0.002508675,18.09333333
e31,6,5784,90.5,102.29,11.79,0.002038382,17.04833333
e32,14,5755,115.8,130.23,14.43,0.002507385,9.302142857
e33,130,6276,459.6,479.39,19.79,0.003153282,3.687615385
e34,268,5397,1154.2,1189.8,35.6,0.006596257,4.439552239
e35,389,6063,2149.7,2199.95,50.25,0.008287976,5.655398458
e36,400,5590,3936.3,4014.02,77.72,0.013903399,10.03505
e37,250,4309,641.9,670.4,28.5,0.006614064,2.6816
