Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,2,24116,30.1,40.93,10.83,0.000449079,20.465
e2,3,28933,31.3,42.69,11.39,0.000393668,14.23
e3,2,23279,24.1,32.47,8.37,0.000359552,16.235
e4,2,23312,25.3,35.21,9.91,0.000425103,17.605
e5,2,24832,27.4,36.87,9.47,0.000381363,18.435
e6,35,13876916,79.4,415.96,336.56,2.43E-05,11.88457143
e7,19,67145,49.5,61.16,11.66,0.000173654,3.218947368
e8,27,72065,49.9,60.59,10.69,0.000148338,2.244074074
e9,101,35230,197.3,222.58,25.28,0.00071757,2.203762376
e10,12,22870,45.8,56.05,10.25,0.000448185,4.670833333
e11,19,24031,36.5,46.62,10.12,0.000421123,2.453684211
e12,10,36924,26.6,35,8.4,0.000227494,3.5
e13,6,33883,38.1,47.07,8.97,0.000264735,7.845
e14,8,29569,40.1,49.2,9.1,0.000307755,6.15
e15,37,243326,56.7,70.33,13.63,5.60E-05,1.900810811
e16,27,189612,66.9,80.1,13.2,6.96E-05,2.966666667
e17,42,221872,59.2,73.6,14.4,6.49E-05,1.752380952
e18,6,30597,42.4,51.75,9.35,0.000305586,8.625
e19,27,65034,48.6,59.76,11.16,0.000171603,2.213333333
e20,19,23906,37.5,46.83,9.33,0.000390279,2.464736842
e21,19,23518,35.2,44.36,9.16,0.000389489,2.334736842
e22,12,22911,36.4,45.31,8.91,0.000388896,3.775833333
e23,49,19202,56.9,68.83,11.93,0.000621289,1.404693878
e24,12,23087,42.7,52.18,9.48,0.000410621,4.348333333
e25,9,21433,48.4,57.56,9.16,0.000427378,6.395555556
e26,78,50169,64.3,76.95,12.65,0.000252148,0.986538462
e27,51,224679,60.2,74.23,14.03,6.24E-05,1.455490196
e28,91,22009,64.8,76.42,11.62,0.000527966,0.83978022
e29,12,32639,46.6,55.98,9.38,0.000287386,4.665
e30,6,27442,37.3,45.72,8.42,0.000306829,7.62
e31,6,27546,37,45.57,8.57,0.000311116,7.595
e32,14,22894,38.3,47.09,8.79,0.000383943,3.363571429
e33,81,25004,127.1,141.06,13.96,0.000558311,1.741481481
e34,105,28050,334.7,354.66,19.96,0.000711586,3.377714286
e35,98,14028,647.1,675.43,28.33,0.002019532,6.892142857
e36,289,15098,874.7,918.76,44.06,0.002918267,3.179100346
e37,99,4739,171.8,194.11,22.31,0.004707744,1.960707071
