Molecule,Diamond_MacroModel,Diamond_RDKit,MCLMCS,MCMM,SPMC,LMCS
e1,23.67592889,19.27603973,83.79,30.77,40.93,91.64
e2,23.83602549,19.93612214,88.12,36.84,42.69,101.21
e3,23.37742397,19.7167738,63.85,27.94,32.47,76.15
e4,23.50620519,19.03628386,62.12,29.69,35.21,77.82
e5,23.38694311,18.69756086,61.3,28.39,36.87,77.96
e6,333.927231,214.7994186,261.06,97,415.96,291.03
e7,182.8797775,129.0607952,136.83,54.87,61.16,154.72
e8,70.25813185,48.02932971,160.4,58.34,60.59,176.03
e9,3017.438848,1925.165691,713.81,223.56,222.58,731.15
e10,71.14296154,71.52213551,135.8,50.38,56.05,155.31
e11,70.13199447,64.19077385,111.01,39.68,46.62,130.65
e12,69.02210328,62.53114843,79.56,34.53,35,89.75
e13,69.85162348,70.23144107,107.07,40.62,47.07,124.21
e14,69.45174742,70.37302906,106.69,40.75,49.2,122.06
e15,475.3958447,486.7699467,186.79,71.04,70.33,208.7
e16,425.5733543,437.2282136,223.22,78.8,80.1,239.95
e17,511.6190619,527.9689835,196.73,71.76,73.6,222.19
e18,70.30151009,70.52251051,106.94,40.41,51.75,131.58
e19,185.5306507,189.06391,161.75,64.68,59.76,181.24
e20,70.08164032,70.31182921,109.08,39.41,46.83,133.55
e21,70.21201383,70.36205407,111.02,43.55,44.36,129.71
e22,69.85168724,70.44292144,108.6,43.25,45.31,125.74
e23,573.195561,587.3736258,206.16,71.43,68.83,229.15
e24,69.54201626,70.11277083,117.28,44.22,52.18,140.65
e25,62.19168915,62.52168573,137.31,51.67,57.56,161.16
e26,577.1861258,589.0348385,228.56,80.29,76.95,262.06
e27,499.244787,512.2414269,208.69,71.89,74.23,248.6
e28,450.9882952,461.8060001,215.23,83.8,76.42,243.9
e29,70.6128006,70.63365994,144.61,50.91,55.98,176.63
e30,69.49219323,70.30218613,108.56,38.33,45.72,125.66
e31,69.56226465,70.41282143,102.29,38.05,45.57,133.83
e32,70.10211465,70.08198039,130.23,42.48,47.09,138.51
e33,3628.521203,4296.218343,479.39,148.99,141.06,516.46
e34,22693.15941,30499.23042,1189.8,326.51,354.66,1237.93
e35,5719.921918,30637.58836,2199.95,778.33,675.43,2369.16
e36,1309.834161,411894.3602,4014.02,1511.65,918.76,4114.43
e37,12606.07569,14852.85901,670.4,170.18,194.11,717.57
