Molecule,Lowest_Total_Energy,True_minimum_count,Multiple_minimum_count,Saddle_point_count,Conformers_within_1kcal,Conformers_within_3kcal,Conformers_within_5kcal
e1,9.097,2,0,0,1,2,2
e2,12.289,3,0,0,1,1,1
e3,9.588,3,0,0,1,2,2
e4,9.588,3,0,0,1,2,2
e5,9.588,3,0,0,1,2,2
e6,20.035,24,0,0,3,10,17
e7,12.039,13,0,0,3,7,11
e8,13.006,11,0,0,3,7,11
e9,32.369,69,0,0,3,11,37
e10,14.412,3,0,0,3,3,3
e11,13.651,13,0,0,2,5,8
e12,42.805,16,0,0,5,11,15
e13,13.218,6,0,0,2,3,5
e14,14.544,7,0,0,2,3,5
e15,18.022,32,0,0,3,14,25
e16,23.984,35,0,0,4,14,28
e17,16.641,37,0,0,4,14,32
e18,13.218,6,0,0,2,3,5
e19,12.935,11,0,0,3,7,11
e20,13.651,13,0,0,2,5,8
e21,13.651,13,0,0,2,5,8
e22,11.959,3,0,0,2,3,3
e23,14.978,33,0,0,6,20,33
e24,14.916,14,0,0,4,5,12
e25,12.078,3,0,0,2,3,3
e26,17.176,87,0,0,8,28,59
e27,2.51,34,0,0,3,10,24
e28,17.358,48,0,0,5,22,40
e29,16.952,10,0,0,1,4,5
e30,14.841,9,0,0,2,4,6
e31,14.841,9,0,0,2,4,6
e32,13.713,7,0,0,2,5,5
e33,20.813,67,0,0,3,19,49
e34,29.608,58,0,0,2,12,40
e35,43.128,169,0,0,3,33,116
e36,75.857,95,0,0,6,33,71
e37,120.439,193,0,0,5,55,151
