Molecule,Geometry_generate_time,Minimization_time,Total_running_time,ave_running_time,Total_conformer_num,Output_conformer_num
e6,0.035391967,20.77,20.80539197,0.520134799,81,40
e2,0.005962042,1.7,1.705962042,0.568654014,3,3
e8,0.016697937,4.88,4.896697937,0.544077549,27,9
e3,0.005705695,1.78,1.785705695,0.595235232,3,3
e4,0.006005731,1.71,1.716005731,0.57200191,3,3
e1,0.005305021,1.7,1.705305021,0.568435007,3,3
e9,0.298067201,186.74,187.0380672,0.580863563,2187,322
e7,0.01956675,12.65,12.66956675,0.50678267,27,25
e5,0.005757079,1.77,1.775757079,0.591919026,3,3
e27,0.04780345,47.1,47.14780345,0.725350822,81,65
e32,0.011382811,6.48,6.491382811,0.721264757,9,9
e23,0.052651105,55.15,55.2026511,0.736035348,81,75
e33,0.427694615,422.84,423.2676946,0.778065615,729,544
e15,0.043952335,44.22,44.26395233,0.737732539,81,60
e37,2.077127077,1441.28,1443.357127,0.887127921,6561,1627
e14,0.013097255,6.33,6.343097255,0.704788584,9,9
e34,3.915463969,3227.06,3230.975464,0.941426417,6561,3432
e13,0.011367227,6.47,6.481367227,0.720151914,9,9
e16,0.044119605,40.77,40.8141196,0.75581703,81,54
e12,0.006704428,4.65,4.656704428,0.517411603,9,9
e10,0.014481827,6.54,6.554481827,0.728275759,9,9
e36,730.1286908,53762.2,54492.32869,1.444806679,4782969,37716
e29,0.012930214,6.48,6.492930214,0.72143669,9,9
e24,0.011254324,6.38,6.391254324,0.710139369,9,9
e30,0.011261244,6.38,6.391261244,0.710140138,9,9
e18,0.011739901,6.5,6.511739901,0.723526656,9,9
e35,35.79365541,3510.83,3546.623655,1.273930911,177147,2784
e19,0.022256235,17.36,17.38225624,0.724260676,27,24
e22,0.011623192,6.43,6.441623192,0.71573591,9,9
e11,0.009951696,4.25,4.259951696,0.473327966,9,9
e17,0.047809421,47.9,47.94780942,0.737658606,81,65
e20,0.011698715,6.4,6.411698715,0.712410968,9,9
e28,0.046524454,43.24,43.28652445,0.746319387,81,58
e26,0.052796127,55.05,55.10279613,0.734703948,81,75
e21,0.012364748,6.33,6.342364748,0.704707194,9,9
e31,0.011635777,6.5,6.511635777,0.723515086,9,9
e25,0.011398751,5.67,5.681398751,0.710174844,9,8
