Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,2,4832,126.9,132.87,5.97,0.001235513,66.435
e2,3,3327,142.5,149.45,6.95,0.002088969,49.81666667
e3,3,5276,115.5,121.03,5.53,0.001048143,40.34333333
e4,3,5228,115.1,120.78,5.68,0.001086458,40.26
e5,3,5166,115.3,120.43,5.13,0.000993031,40.14333333
e6,24,6906,521.2,532.61,11.41,0.001652187,22.19208333
e7,13,3901,241.1,248.45,7.35,0.001884132,19.11153846
e8,11,3201,276.2,283.38,7.18,0.002243049,25.76181818
e9,69,105565,1155.7,1179.21,23.51,0.000222706,17.09
e10,3,3464,237.9,245.64,7.74,0.002234411,81.88
e11,13,4396,211.6,218.73,7.13,0.001621929,16.82538462
e12,16,4244,149,154.38,5.38,0.001267672,9.64875
e13,6,4628,204.9,211.44,6.54,0.001413137,35.24
e14,7,4422,206.1,212.86,6.76,0.00152872,30.40857143
e15,32,3179,363.3,371.97,8.67,0.002727273,11.6240625
e16,35,2928,429.6,439.67,10.07,0.003439208,12.562
e17,37,3200,391.6,400.66,9.06,0.00283125,10.82864865
e18,6,4654,215.7,222.54,6.84,0.001469703,37.09
e19,11,3380,296.9,305.03,8.13,0.002405325,27.73
e20,13,4374,223.5,230.76,7.26,0.001659808,17.75076923
e21,13,4434,217.5,224.75,7.25,0.001635092,17.28846154
e22,3,3839,249.5,257.44,7.94,0.002068247,85.81333333
e23,33,2969,374.5,384.28,9.78,0.003294038,11.64484848
e24,14,4156,228.6,236.05,7.45,0.001792589,16.86071429
e25,3,4460,221.9,230.06,8.16,0.001829596,76.68666667
e26,87,3075,394.6,405.1,10.5,0.003414634,4.656321839
e27,34,3484,343.7,352.65,8.95,0.002568886,10.37205882
e28,48,3341,414.1,424.57,10.47,0.003133792,8.845208333
e29,10,3245,249.6,257.9,8.3,0.002557781,25.79
e30,9,4555,214.2,221.82,7.62,0.001672887,24.64666667
e31,9,4576,220.5,228.32,7.82,0.001708916,25.36888889
e32,7,4397,222.4,230.69,8.29,0.001885376,32.95571429
e33,67,3886,846.3,860.69,14.39,0.003703037,12.8461194
e34,58,2591,1763.3,1785.74,22.44,0.008660749,30.78862069
e35,164,2768,3505.7,3540.11,34.41,0.012431358,21.58603659
e36,44,3071,5992.8,6036.83,44.03,0.014337349,137.2006818
e37,195,2322,1200.3,1222.07,21.77,0.009375538,6.267025641
