Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,2,6246,103.5,109.44,5.94,0.000951009,54.72
e2,3,4715,122,128.48,6.48,0.001374337,42.82666667
e3,3,6508,95.7,100.85,5.15,0.000791334,33.61666667
e4,3,6613,92,96.6,4.6,0.0006956,32.2
e5,3,6669,91.8,96.57,4.77,0.00071525,32.19
e6,24,11103,468.9,479.92,11.02,0.000992525,19.99666667
e7,19,5662,221.6,228.51,6.91,0.001220417,12.02684211
e8,16,4864,254.5,261.28,6.78,0.001393914,16.33
e9,70,10069,1170.4,1192.77,22.37,0.00222167,17.03957143
e10,4,4801,215.5,222.39,6.89,0.001435118,55.5975
e11,13,5808,177.4,183.66,6.26,0.001077824,14.12769231
e12,16,5689,128.7,133.9,5.2,0.000914045,8.36875
e13,6,6090,175.3,181.45,6.15,0.001009852,30.24166667
e14,7,5955,171.6,177.57,5.97,0.001002519,25.36714286
e15,36,4772,317.6,325.51,7.91,0.001657586,9.041944444
e16,36,4294,368.8,377.92,9.12,0.002123894,10.49777778
e17,37,4598,348.3,356.31,8.01,0.001742062,9.63
e18,6,6118,172,178.09,6.09,0.000995423,29.68166667
e19,11,4722,264.4,271.89,7.49,0.001586192,24.71727273
e20,13,5672,184.1,190.82,6.72,0.001184767,14.67846154
e21,13,5754,195.3,202.47,7.17,0.00124609,15.57461538
e22,5,5604,193.7,200.3,6.6,0.00117773,40.06
e23,43,4283,355.2,364.33,9.13,0.002131683,8.472790698
e24,14,5618,198.8,206.04,7.24,0.001288715,14.71714286
e25,3,5943,178.2,184.81,6.61,0.001112233,61.60333333
e26,87,4345,356.8,366.46,9.66,0.002223245,4.212183908
e27,34,5043,305.2,313.32,8.12,0.001610153,9.215294118
e28,48,4654,355.5,364.52,9.02,0.001938118,7.594166667
e29,10,4675,220.7,228.91,8.21,0.00175615,22.891
e30,9,6106,188.5,195.99,7.49,0.001226662,21.77666667
e31,9,5924,178.8,185.45,6.65,0.001122552,20.60555556
e32,7,5895,182.8,190.2,7.4,0.001255301,27.17142857
e33,65,6598,799,812.5,13.5,0.002046075,12.5
e34,70,4870,1514.1,1535.04,20.94,0.004299795,21.92914286
e35,89,5219,3871.5,3904.81,33.31,0.006382449,43.87426966
e36,61,5804,5553.3,5597.03,43.73,0.007534459,91.75459016
e37,186,4939,1102.1,1122,19.9,0.004029156,6.032258065
