Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,2,16201,34.9,39.01,4.11,0.000253688,19.505
e2,3,15594,40,44.96,4.96,0.000318071,14.98666667
e3,3,14769,30.1,33.79,3.69,0.000249848,11.26333333
e4,3,14690,29.6,33.82,4.22,0.00028727,11.27333333
e5,3,14718,32.3,36.12,3.82,0.000259546,12.04
e6,33,172675,140.2,148.21,8.01,4.64E-05,4.491212121
e7,19,14216,78.1,83.08,4.98,0.00035031,4.372631579
e8,16,15924,95.5,100.79,5.29,0.000332203,6.299375
e9,90,2411346,272.6,338.72,66.12,2.74E-05,3.763555556
e10,4,14751,74.6,79.38,4.78,0.000324046,19.845
e11,13,13585,61.6,65.96,4.36,0.000320942,5.073846154
e12,16,15590,44.2,47.53,3.33,0.000213598,2.970625
e13,6,14000,61.8,65.73,3.93,0.000280714,10.955
e14,7,13861,57.6,61.55,3.95,0.000284972,8.792857143
e15,36,16768,108,113.14,5.14,0.000306536,3.142777778
e16,36,16726,124.8,130.6,5.8,0.000346766,3.627777778
e17,37,14340,119.3,124.43,5.13,0.000357741,3.362972973
e18,6,14878,61.7,65.53,3.83,0.000257427,10.92166667
e19,11,14366,89.7,94.41,4.71,0.000327857,8.582727273
e20,13,13717,62.9,67.17,4.27,0.000311293,5.166923077
e21,13,13728,59.4,63.27,3.87,0.000281906,4.866923077
e22,5,15242,67.1,71.35,4.25,0.000278835,14.27
e23,43,14611,118.3,123.78,5.48,0.00037506,2.878604651
e24,14,14798,63.1,67.36,4.26,0.000287877,4.811428571
e25,3,14674,58.9,63.02,4.12,0.000280769,21.00666667
e26,87,14762,121,127.42,6.42,0.0004349,1.464597701
e27,34,15597,99,103.51,4.51,0.000289158,3.044411765
e28,48,13972,119.3,124.9,5.6,0.000400802,2.602083333
e29,10,17220,69.7,74.38,4.68,0.000271777,7.438
e30,9,13794,60.3,64.74,4.44,0.000321879,7.193333333
e31,9,13827,60.7,65.24,4.54,0.000328343,7.248888889
e32,7,14017,63.9,68.49,4.59,0.00032746,9.784285714
e33,76,185264,239,250.74,11.74,6.34E-05,3.299210526
e34,57,2569445,328.6,399.79,71.19,2.77E-05,7.013859649
e35,76,9882657,552.1,916.6,364.5,3.69E-05,12.06052632
e36,94,18444793,854.4,1721.36,866.96,4.70E-05,18.31234043
e37,136,367937,249.5,268.74,19.24,5.23E-05,1.976029412
