Molecule,Diamond_MacroModel,Diamond_RDKit,MCMM,SPMC,MCLMCS,LMCS
e1,2.065934417,1.705305021,39.01,49.79,109.44,132.87
e2,2.065954095,1.705962042,44.96,55.8,128.48,149.45
e3,2.016474061,1.785705695,33.79,41.57,100.85,121.03
e4,2.096238809,1.716005731,33.82,41.51,96.6,120.78
e5,2.086327329,1.775757079,36.12,40.68,96.57,120.43
e6,31.98632921,20.80539197,148.21,230.91,479.92,532.61
e7,17.93317949,12.66956675,83.08,84.71,228.51,248.45
e8,6.837061836,4.896697937,100.79,93.17,261.28,283.38
e9,287.5902532,187.0380672,338.72,467.21,1192.77,1179.21
e10,6.142419573,6.554481827,79.38,104.07,222.39,245.64
e11,5.971489,4.259951696,65.96,78.34,183.66,218.73
e12,5.941637069,4.656704428,47.53,51.51,133.9,154.38
e13,6.101283351,6.481367227,65.73,83.59,181.45,211.44
e14,6.21122799,6.343097255,61.55,81.28,177.57,212.86
e15,43.0574964,44.26395233,113.14,110.76,325.51,371.97
e16,39.15674997,40.8141196,130.6,141.11,377.92,439.67
e17,46.51732426,47.94780942,124.43,129.52,356.31,400.66
e18,6.172230412,6.511739901,65.53,85.58,178.09,222.54
e19,15.96132878,17.38225624,94.41,97.65,271.89,305.03
e20,6.111240618,6.411698715,67.17,74.1,190.82,230.76
e21,6.191626954,6.342364748,63.27,73.01,202.47,224.75
e22,6.031514316,6.441623192,71.35,87.17,200.3,257.44
e23,53.6928672,55.2026511,123.78,137.73,364.33,384.28
e24,6.122930567,6.391254324,67.36,78.05,206.04,236.05
e25,5.450917494,5.681398751,63.02,88,184.81,230.06
e26,54.34041764,55.10279613,127.42,137.78,366.46,405.1
e27,46.34876261,47.14780345,103.51,102.84,313.32,352.65
e28,41.85443997,43.28652445,124.9,129.45,364.52,424.57
e29,6.122394819,6.492930214,74.38,90.85,228.91,257.9
e30,6.050887342,6.391261244,64.74,78.29,195.99,221.82
e31,6.081689548,6.511635777,65.24,76.23,185.45,228.32
e32,6.111519367,6.491382811,68.49,81.38,190.2,230.69
e33,364.107788,423.2676946,250.74,282.14,812.5,860.69
e34,2844.455116,3230.975464,399.79,731.55,1535.04,1785.74
e35,742.3684316,3546.623655,916.6,1200.14,3904.81,3540.11
e36,903.3859885,54492.32869,1721.36,1763.01,5597.03,6036.83
e37,1309.420822,1443.357127,268.74,365.36,1122,1222.07
