Molecule,Diamond_RDKit,Diamond_MacroModel,SPMC,MCMM,MCLMCS,LMCS
e1,3,3,2,2,3,3
e2,3,3,1,1,1,1
e3,3,3,2,2,2,2
e4,3,3,2,2,2,2
e5,3,3,2,2,2,2
e6,39,39,32,32,32,26
e7,24,24,17,17,17,17
e8,9,9,18,18,18,18
e9,148,148,53,86,53,53
e10,7,7,9,9,9,9
e11,8,8,12,12,12,12
e12,7,7,10,10,10,10
e13,8,8,5,5,5,3
e14,8,8,6,6,6,6
e15,41,41,28,28,28,28
e16,25,25,21,21,21,21
e17,53,53,34,34,34,34
e18,8,8,5,5,5,3
e19,23,23,17,17,17,17
e20,8,8,12,12,12,12
e21,8,8,12,12,12,12
e22,8,8,7,7,7,7
e23,64,64,37,47,47,47
e24,9,9,12,12,12,12
e25,6,6,5,5,5,5
e26,57,57,78,84,82,84
e27,38,38,34,34,34,34
e28,48,48,63,65,65,65
e29,9,9,8,8,8,8
e30,9,9,6,6,6,6
e31,9,9,6,6,6,6
e32,9,9,11,11,11,11
e33,238,238,53,91,94,93
e34,397,490,91,140,183,171
e35,518,256,85,188,351,311
e36,2412,20,309,203,445,511
e37,190,270,67,119,175,183
