Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,3,3442,80.1,91.64,11.54,0.003352702,30.54666667
e2,3,2708,88.8,101.21,12.41,0.004582718,33.73666667
e3,2,8072,67.6,76.15,8.55,0.001059217,38.075
e4,2,4245,67.5,77.82,10.32,0.002431095,38.91
e5,2,4455,67.8,77.96,10.16,0.002280584,38.98
e6,28,5767,272.2,291.03,18.83,0.003265129,10.39392857
e7,19,3759,143,154.72,11.72,0.00311785,8.143157895
e8,27,3478,164.2,176.03,11.83,0.00340138,6.51962963
e9,95,5356,701.5,731.15,29.65,0.005535848,7.696315789
e10,12,3353,142.3,155.31,13.01,0.003880107,12.9425
e11,19,4374,119.1,130.65,11.55,0.002640604,6.876315789
e12,10,3781,79.8,89.75,9.95,0.002631579,8.975
e13,3,4211,113.3,124.21,10.91,0.002590834,41.40333333
e14,8,4044,111.1,122.06,10.96,0.002710188,15.2575
e15,38,3090,195.5,208.7,13.2,0.004271845,5.492105263
e16,26,2947,225.7,239.95,14.25,0.004835426,9.228846154
e17,43,3117,207.6,222.19,14.59,0.004680783,5.167209302
e18,3,4260,117.9,131.58,13.68,0.003211268,43.86
e19,27,3919,169.2,181.24,12.04,0.003072212,6.712592593
e20,19,4341,119.8,133.55,13.75,0.003167473,7.028947368
e21,19,4524,118.8,129.71,10.91,0.002411583,6.826842105
e22,12,3951,114.9,125.74,10.84,0.002743609,10.47833333
e23,62,3076,214.7,229.15,14.45,0.004697659,3.695967742
e24,13,4097,128.1,140.65,12.55,0.003063217,10.81923077
e25,9,4341,149.2,161.16,11.96,0.002755126,17.90666667
e26,112,3314,245.3,262.06,16.76,0.005057333,2.339821429
e27,51,3200,233.5,248.6,15.1,0.00471875,4.874509804
e28,93,3504,226.2,243.9,17.7,0.00505137,2.622580645
e29,12,3377,160.2,176.63,16.43,0.004865265,14.71916667
e30,6,4327,112.9,125.66,12.76,0.002948925,20.94333333
e31,6,4410,118.6,133.83,15.23,0.003453515,22.305
e32,14,4304,126.4,138.51,12.11,0.002813662,9.893571429
e33,131,3701,495.5,516.46,20.96,0.005663334,3.942442748
e34,263,3040,1200.6,1237.93,37.33,0.012279605,4.706958175
e35,367,3169,2318.3,2369.16,50.86,0.016049227,6.455476839
e36,409,3188,4037.9,4114.43,76.53,0.024005646,10.05973105
e37,259,2554,687.4,717.57,30.17,0.011812843,2.770540541
