Molecule,Unique_Structures,Generated_Structures,Minimization_Time,Total_running_time,conformer_generate_time,ave_conformer_generate_time,ave_running_time
e1,2,15354,21.1,30.77,9.67,0.000629803,15.385
e2,3,17025,26.5,36.84,10.34,0.000607342,12.28
e3,2,14942,18.8,27.94,9.14,0.000611699,13.97
e4,2,14824,20.1,29.69,9.59,0.000646924,14.845
e5,2,15000,19.3,28.39,9.09,0.000606,14.195
e6,36,183257,81.4,97,15.6,8.51E-05,2.694444444
e7,19,14308,44,54.87,10.87,0.000759715,2.887894737
e8,27,15724,49,58.34,9.34,0.000593996,2.160740741
e9,143,2378496,149.6,223.56,73.96,3.11E-05,1.563356643
e10,12,16672,40.1,50.38,10.28,0.000616603,4.198333333
e11,19,14930,31.3,39.68,8.38,0.000561286,2.088421053
e12,10,16299,25.9,34.53,8.63,0.00052948,3.453
e13,6,14232,31.6,40.62,9.02,0.000633783,6.77
e14,8,15264,31.8,40.75,8.95,0.000586347,5.09375
e15,38,15064,60.7,71.04,10.34,0.000686405,1.869473684
e16,27,16290,68.4,78.8,10.4,0.000638428,2.918518519
e17,42,14340,61.7,71.76,10.06,0.000701534,1.708571429
e18,6,14544,32.1,40.41,8.31,0.00057137,6.735
e19,27,15215,52.5,64.68,12.18,0.000800526,2.395555556
e20,19,15799,30.9,39.41,8.51,0.000538642,2.074210526
e21,19,14298,33.8,43.55,9.75,0.000681914,2.292105263
e22,12,15445,32.8,43.25,10.45,0.000676594,3.604166667
e23,62,14842,61.4,71.43,10.03,0.000675785,1.152096774
e24,13,15829,35.8,44.22,8.42,0.000531935,3.401538462
e25,9,14589,40.5,51.67,11.17,0.000765645,5.741111111
e26,111,14910,67.6,80.29,12.69,0.000851107,0.723333333
e27,51,15171,62,71.89,9.89,0.000651902,1.409607843
e28,92,14995,71.4,83.8,12.4,0.000826942,0.910869565
e29,12,17558,41.1,50.91,9.81,0.00055872,4.2425
e30,6,13677,29.9,38.33,8.43,0.000616363,6.388333333
e31,6,14819,29.5,38.05,8.55,0.000576962,6.341666667
e32,14,14270,33.7,42.48,8.78,0.000615277,3.034285714
e33,131,182866,132.7,148.99,16.29,8.91E-05,1.137328244
e34,204,2674664,242.6,326.51,83.91,3.14E-05,1.600539216
e35,214,10345582,379.6,778.33,398.73,3.85E-05,3.637056075
e36,166,19024099,565.3,1511.65,946.35,4.97E-05,9.106325301
e37,166,360630,143.9,170.18,26.28,7.29E-05,1.025180723
